ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,3,1,1,4,1,2,2,4,3,3,3,5,1,1,1,1,3,2,3,5,3,4,4,4,3,3,3,5,1
2,3,5,5,5,2,3,3,3,1,3,5,3,1,1,1,3,5,5,5,1,4,5,3,3,2,3,2,3,5
3,2,3,4,4,3,3,2,3,2,4,3,4,3,2,2,4,3,4,4,2,4,3,3,2,2,3,2,2,3
4,3,5,2,5,2,2,2,3,1,2,3,4,2,2,3,4,2,4,4,4,4,3,4,4,3,3,2,3,4
5,2,5,4,5,3,3,3,4,1,3,4,5,3,3,3,3,4,4,5,5,2,3,3,3,3,3,3,5,2
6,2,2,4,4,2,3,2,2,3,3,3,4,4,3,3,2,3,3,3,3,5,2,3,4,3,2,2,3,4
7,2,2,3,5,1,2,2,3,3,5,5,5,2,1,2,1,5,2,5,4,3,3,4,3,2,3,1,1,1
8,2,5,4,4,3,3,2,2,4,3,3,3,2,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,5
9,1,1,1,5,5,5,1,1,2,5,5,5,2,1,2,5,5,4,5,1,5,1,1,5,1,1,1,1,3
10,3,5,4,2,1,5,1,3,2,1,1,1,3,3,3,1,1,5,1,5,4,4,3,2,3,5,1,5,5
11,3,2,1,5,3,3,4,5,4,4,5,4,3,1,2,3,3,4,3,4,2,2,3,3,2,2,2,4,4
12,3,4,5,5,4,4,2,3,2,2,5,3,3,2,2,3,4,4,4,4,4,4,3,3,3,3,3,3,4
13,1,4,1,5,2,3,1,2,2,4,4,4,4,2,2,2,3,3,4,2,4,4,4,4,3,4,2,3,3
14,4,5,5,2,3,4,4,5,2,2,4,4,2,3,3,4,3,3,2,2,1,2,3,3,3,3,4,4,4
15,3,2,1,5,2,2,3,3,4,2,2,5,2,2,3,2,4,2,4,3,2,4,4,5,2,3,3,4,2
16,1,5,5,5,5,5,1,1,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,1,1,1
17,2,4,5,5,3,4,1,1,3,3,3,5,1,1,1,3,4,4,5,3,3,3,3,2,1,3,1,3,4
18,3,4,4,4,2,3,2,4,3,3,4,4,2,1,1,2,3,4,4,4,3,2,2,2,2,2,2,2,3
19,2,1,1,5,3,3,1,3,4,3,3,5,3,1,1,4,2,2,3,3,4,2,3,3,3,3,1,2,2
20,2,4,3,5,2,2,2,3,2,4,4,5,3,2,1,3,5,3,5,3,3,5,3,3,3,4,1,2,3
21,3,2,2,4,2,3,4,3,4,2,2,4,3,2,3,2,4,3,4,4,2,4,4,4,3,4,2,4,3
22,2,2,2,4,1,2,2,2,1,3,5,4,3,1,1,1,3,5,3,4,4,4,2,3,2,4,2,4,5
23,1,3,4,5,2,3,2,2,3,4,4,4,2,2,3,3,4,2,3,2,4,4,3,4,3,2,2,3,3
24,2,2,1,5,1,1,2,2,3,1,1,5,1,1,1,1,5,2,5,3,3,2,2,2,1,2,2,3,3
25,4,3,4,3,3,3,5,5,2,1,2,2,5,1,3,2,1,4,3,5,1,4,5,2,3,3,5,5,1
26,2,5,5,5,2,4,3,4,1,3,5,4,3,3,1,3,5,5,5,5,3,5,3,2,4,5,3,4,5
