ID,ability.1.ap,anxiety.1.ap,avoid.1.ap,ability.2.ap,anxiety.2.ap,avoid.2.ap,ability.3.ap,anxiety.3.ap,avoid.3.ap
1,4,5,6,4,4,6,3,4,6
2,4,7,7,7,7,7,4,4,1
3,4,5,5,7,5,5,6,6,4
4,6,7,6,6,7,7,6,7,6
5,6,6,6,7,6,7,7,6,7
6,4,3,3,5,3,3,3,4,4
7,5,7,6,6,7,4,6,7,5
8,5,5,7,7,5,6,7,6,7
9,7,7,7,7,7,7,7,7,7
10,5,2,4,6,4,5,5,5,3
11,6,7,5,6,7,6,6,7,3
12,6,6,6,7,7,5,7,5,4
13,3,5,6,4,5,5,5,7,5
14,6,6,2,7,5,4,7,6,5
15,4,6,5,5,5,5,4,6,2
16,7,7,7,7,7,7,7,7,1
17,7,7,2,7,1,2,7,7,2
18,6,7,4,3,7,4,5,6,4
19,7,7,7,7,7,7,7,7,7
20,7,7,7,7,7,6,6,6,5
21,5,6,5,4,6,6,4,6,4
22,5,5,7,7,6,7,5,7,4
23,6,6,6,6,6,6,5,6,3
24,7,7,7,7,7,1,7,7,1
25,4,6,4,7,4,4,6,7,1
26,4,7,5,4,7,5,5,7,4
