ID,ability.1.jul,anxiety.1.jul,avoid.1.jul,ability.2.jul,anxiety.2.jul,avoid.2.jul,ability.3.jul,anxiety.3.jul,avoid.3.jul
1,2,4,3,1,2,1,3,4,3
2,1,3,3,3,6,5,3,6,2
3,5,6,5,4,5,4,5,5,4
4,5,6,7,5,7,3,5,2,5
5,,,,,,,,,
6,,,,,,,,,
7,4,4,2,5,4,2,4,5,4
8,,,,,,,,,
9,,,,,,,,,
10,5,5,2,6,5,2,5,5,2
11,,,,,,,,,
12,5,4,4,6,4,4,4,4,3
13,4,5,6,5,5,5,4,6,3
14,3,5,6,5,3,4,5,5,2
15,3,5,3,3,5,3,3,5,3
16,4,4,7,7,4,7,7,7,7
17,,,,,,,,,
18,6,4,3,3,4,3,6,4,3
19,6,6,6,7,7,6,7,7,4
20,6,6,4,7,5,4,3,6,4
21,3,5,2,4,5,3,4,5,4
22,4,5,5,5,5,5,5,5,5
23,,,,,,,,,
24,7,7,7,7,7,7,7,7,6
25,5,4,6,6,3,6,6,5,1
26,2,6,3,4,6,4,4,7,4
